trial_id,title,status,phase,enrollment,enrollment_type,study_type,sponsor,sponsor_class,eligibility_words,start_date,completion_date
NCT06944314,Physicians' Perception About Patient Pain in Flexible Cystoscopy With Local Anesthesia,ENROLLING_BY_INVITATION,NA,120.0,,INTERVENTIONAL,Marmara University,,89,2025-03-01,
NCT02762214,Role of Uterine Manipulator in Hysterectomy - Ro.Man.HY,UNKNOWN,PHASE3,154.0,,INTERVENTIONAL,Catholic University of the Sacred Heart,,112,2015-10,
NCT01872416,A Clinical Study of Liposomal Doxorubicin Combined With Ifosfamide Second-line Treatment in Small Cell Lung Cancer,UNKNOWN,PHASE2,30.0,,INTERVENTIONAL,The First Affiliated Hospital of Guangzhou Medical University,,241,2012-10,
NCT05001516,Study of Turning Point Therapeutics LM-302 in Patients With Advance Solid Tumors,COMPLETED,PHASE1,17.0,,INTERVENTIONAL,"Turning Point Therapeutics, Inc.",,1453,2021-12-29,
NCT04530006,Acetyl-Amantadine as a Biomarker in Patients With Glioblastoma,UNKNOWN,NA,20.0,,INTERVENTIONAL,CancerCare Manitoba,,149,2020-12-02,
NCT04240106,"Niraparib Plus Aromatase Inhibitors for Luminal-like(HER2-,ER+) and gBRCA or HDR+ Metastatic Breast Cancer (LUZERN)",COMPLETED,PHASE2,14.0,,INTERVENTIONAL,MedSIR,,1646,2020-06-15,
NCT07162506,DCRT vs. Surgery in Resectable ESCC Patient Achiving cCR/PR After nCI,RECRUITING,PHASE2,120.0,,INTERVENTIONAL,Tianjin Medical University Cancer Institute and Hospital,,868,2025-08-01,
NCT05938504,Usefulness of Balanced High Protein Supplementation on Recovery and Clinical Outcomes After Chemotherapy,UNKNOWN,NA,154.0,,INTERVENTIONAL,Daesang Wellife,,320,2023-03-14,
NCT04139304,A Study of Daratumumab and Dose-Adjusted EPOCH in Plasmablastic Lymphoma,RECRUITING,EARLY_PHASE1,15.0,,INTERVENTIONAL,AIDS Malignancy Consortium,,1727,2021-05-24,
NCT01025804,Pharmacokinetics of Asparaginase and Antibody Formation in Interfant-06,COMPLETED,,15.0,,OBSERVATIONAL,Aarhus University Hospital,,41,2009-12,
NCT04758533,Clinical Trial to Assess the Safety and Efficacy of AloCELYVIR With Newly Diagnosed Diffuse Intrinsic Pontine Glioma (DIPG) in Combination With Radiotherapy or Medulloblastoma in Monotherapy,ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",13.0,,INTERVENTIONAL,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain",,593,2021-04-19,
NCT02436733,Pleurectomy/ Decortication (P/D) Preceded or Followed by Chemotherapy in Patients With Early Stage MPM,UNKNOWN,PHASE2,64.0,,INTERVENTIONAL,European Organisation for Research and Treatment of Cancer - EORTC,,364,2016-09-20,
NCT00387933,"Imatinib Mesylate, Vatalanib, and Hydroxyurea in Treating Patients With Recurrent or Relapsed Malignant Glioma",COMPLETED,PHASE1,37.0,,INTERVENTIONAL,Duke University,,537,2005-07,
NCT03253133,Assessing Safety of NIPOX in Peritoneal Carcinomatosis of CRC,COMPLETED,PHASE1,19.0,,INTERVENTIONAL,Institut du Cancer de Montpellier - Val d'Aurelle,,391,2016-05-10,
NCT05235633,ADLs at the End of Acute Treatment for Childhood Leukemia and Non-Hodgkin Lymphoma,UNKNOWN,,20.0,,OBSERVATIONAL,Technical University of Munich,,73,2022-04-19,
NCT00001333,Phase I Study of Intrathecal Topotecan,COMPLETED,PHASE1,30.0,,INTERVENTIONAL,National Cancer Institute (NCI),,254,1993-02,
NCT03650452,"A Phase 2, Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy, Safety, and Tolerability of TAK-935 (OV935) as an Adjunctive Therapy in Pediatric Participants With Developmental and/or Epileptic Encephalopathies",COMPLETED,PHASE2,141.0,,INTERVENTIONAL,Takeda,,125,2018-08-08,
NCT04776447,Atezolizumab Plus Induction Chemotherapy Plus CT-radiotherapy. (APOLO),ACTIVE_NOT_RECRUITING,PHASE2,38.0,,INTERVENTIONAL,Fundación GECP,,1355,2021-06-16,
NCT02202447,Phase 1 of EC1169 In Patients With Recurrent MCRPC,COMPLETED,PHASE1,40.0,,INTERVENTIONAL,Endocyte,,1648,2014-05,
NCT00580281,Effect of Imatinib on Bone Metabolism in Patients With Chronic Myelogenous Leukemia or Gastrointestinal Stromal Tumors,COMPLETED,NA,33.0,,INTERVENTIONAL,Memorial Sloan Kettering Cancer Center,,229,2006-11,
NCT02627430,"Talazoparib and HSP90 Inhibitor AT13387 in Treating Patients With Metastatic Advanced Solid Tumor or Recurrent Ovarian, Fallopian Tube, Primary Peritoneal, or Triple Negative Breast Cancer",WITHDRAWN,PHASE1,0.0,,INTERVENTIONAL,National Cancer Institute (NCI),,741,2016-03,
NCT06169930,Development and Validation of a Survival Prediction Model for Esophageal Cancer Patients After Esophagectomy,COMPLETED,,2957.0,,OBSERVATIONAL,Yongtao Han,,52,2023-12-01,
NCT05900830,Therapy Program for Academic Skills in Children With Intellectual Disability,COMPLETED,NA,20.0,,INTERVENTIONAL,Beni-Suef University,,111,2022-11-15,
NCT00462865,Trial of Chemotherapy and Avastin as Treatment for Women With Breast Cancer at High Risk for Relapse,TERMINATED,PHASE2,18.0,,INTERVENTIONAL,Brown University,,629,2007-11,
NCT05330065,A Study of Intrapleural Administration of Bevacizumab and Camrelizumab for Malignant Pleural Effusion,UNKNOWN,"PHASE1, PHASE2",55.0,,INTERVENTIONAL,The First Affiliated Hospital of Zhengzhou University,,426,2022-08-01,
NCT00303667,Donor Natural Killer Cells and Aldesleukin in Treating Patients w/High Risk AML Undergoing Donor Stem Cell Transplant,COMPLETED,"PHASE1, PHASE2",50.0,,INTERVENTIONAL,"Masonic Cancer Center, University of Minnesota",,712,2005-01,
NCT04287400,Prospective Trial for the Evaluation of Radiogenomics in Advanced Rectal Cancer,UNKNOWN,,210.0,,OBSERVATIONAL,"National Cancer Center, Korea",,58,2019-03-05,
NCT01587300,Neuroblastoma Biology Study,RECRUITING,,1000.0,,OBSERVATIONAL,New Approaches to Neuroblastoma Therapy Consortium,,123,2011-07,
NCT04220892,Pilot Study of Pembrolizumab Combined With Pemetrexed or Abemaciclib for High Grade Glioma,WITHDRAWN,EARLY_PHASE1,0.0,,INTERVENTIONAL,Jose Carrillo,,694,2020-07-08,
NCT06849492,HIM Typing Guides the Treatment of Advanced First-Line Triple-Negative Breast Cancer,NOT_YET_RECRUITING,PHASE2,120.0,,INTERVENTIONAL,Fudan University,,755,2025-04-01,
NCT01043536,Dose Escalation Radiotherapy With Modulation of Intensity and Integrated Boost (SIB-IMRT) in the Treatment of Glioblastomas in Adults,COMPLETED,PHASE1,10.0,,INTERVENTIONAL,Centre Georges Francois Leclerc,,202,2009-09,
NCT06017271,Predictive Value of Epicardial Adipose Tissue for Pulmonary Embolism and Death in Patients With Lung Cancer,WITHDRAWN,,0.0,,OBSERVATIONAL,First Affiliated Hospital Xi'an Jiaotong University,,44,2024-05-01,
NCT01957644,Phase I Dose Escalation Trial of Volasertib in Combination With Azacitidine in Patients With MDS or CMML,TERMINATED,PHASE1,16.0,,INTERVENTIONAL,Boehringer Ingelheim,,377,2013-11-06,
NCT00566644,Intrauterine Levonorgestrel and Observation or Observation Alone in Preventing Atypical Endometrial Hyperplasia and Endometrial Cancer in Women With Hereditary Non-Polyposis Colorectal Cancer or Lynch Syndrome,TERMINATED,PHASE3,600.0,,INTERVENTIONAL,"St George's, University of London",,362,2007-07,
NCT00006444,The Effects of Combination Anti-HIV Medication on Human Papillomavirus (HPV) in HIV-Infected Women,COMPLETED,,160.0,,OBSERVATIONAL,National Institute of Allergy and Infectious Diseases (NIAID),,235,2000-11,
NCT02608034,A Study to Investigate the Effect of Itraconazole and Rifampin on Pharmacokinetics (PK) of Vemurafenib at Steady State,COMPLETED,PHASE1,32.0,,INTERVENTIONAL,"Genentech, Inc.",,300,2016-05-26,
NCT00093834,Vaccine Therapy With or Without Cyclophosphamide and Doxorubicin in Women With Stage IV Breast Cancer,COMPLETED,PHASE1,60.0,,INTERVENTIONAL,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,,420,2004-01,
NCT02579564,Systemic Chemotherapy Combined With Recombinant Human Adenovirus Type 5 and Endostatin Injections for Treatment Malignant Hydrothorax in NSCLC Patients,UNKNOWN,PHASE3,134.0,,INTERVENTIONAL,Xinqiao Hospital of Chongqing,,207,2016-10,
NCT00875264,Open-Label Study to Determine the Maximum Tolerated Oral Dose of the Kinase Inhibitor CEP-11981 in Patients With Advanced Cancer,COMPLETED,PHASE1,43.0,,INTERVENTIONAL,Cephalon,,554,2007-09,
NCT00521664,A Trial Comparing a Prophylactic With a Therapeutic Platelet Transfusion Strategy in Two Groups,COMPLETED,PHASE3,400.0,,INTERVENTIONAL,Technische Universität Dresden,,176,2004-09,
NCT07493109,Chidamide for Maintenance Treatment of HBV-infected Diffuse DLBCL in Patients Initially Treated With R-CHOP,RECRUITING,PHASE3,200.0,,INTERVENTIONAL,"Ou Bai, MD/PHD",,530,2026-05-30,
NCT00003099,Chemoprevention Therapy Plus Surgery in Treating Women With Breast Cancer,COMPLETED,PHASE2,52.0,,INTERVENTIONAL,M.D. Anderson Cancer Center,,243,1996-05,
NCT02728999,Does Less Trendelenburg Make a Difference in Robotic Assisted Gynecological Procedures?,TERMINATED,NA,22.0,,INTERVENTIONAL,Wake Forest University Health Sciences,,90,2013-06,
NCT04985032,Accelerated Partial Breast Irradiation (APBI) Using Stereotactic Body Radiation Therapy (SBRT),RECRUITING,,200.0,,OBSERVATIONAL,"RPCR, Inc.",,160,2022-08-15,
NCT04172532,"Testing the Addition of a New Anti-cancer Drug, M3814 (Peposertib), to the Usual Radiotherapy in Patients With Locally Advanced Pancreatic Cancer",RECRUITING,"PHASE1, PHASE2",92.0,,INTERVENTIONAL,National Cancer Institute (NCI),,1169,2021-01-11,
NCT06723132,A Retrospective Study of Prognostic Factors and Survival of Breast Cancer Patients with Brain Metastesis,NOT_YET_RECRUITING,,60.0,,OBSERVATIONAL,Assiut University,,73,2025-01-01,
NCT03887598,Application of Ultrasound Artificial Intelligence and Elastography in Differential Diagnosis of Breast Nodules,UNKNOWN,,2000.0,,OBSERVATIONAL,Xin-Wu Cui,,61,2019-01-18,
NCT07462663,SHAPE-ENDO: Multimodal Pre-Surgical Optimization in Patients With Obesity and Early-Stage Endometrial Cancer,NOT_YET_RECRUITING,,82.0,,OBSERVATIONAL,Hospital Universitari de Bellvitge,,147,2026-05,
NCT01560663,Predictors of Response to Neoadjuvant Docetaxel-Carboplatin Chemotherapy for Patients With Stage II and III Triple Negative Breast Cancer,UNKNOWN,,415.0,,OBSERVATIONAL,Miguel Martín Jiménez,,170,2012-01,
NCT00351598,Lung Tumour Volume Database,COMPLETED,,531.0,,OBSERVATIONAL,Trans Tasman Radiation Oncology Group,,168,1999-09,
NCT05080998,Longitudinal Bladder Cancer Study for Tumour Recurrence,RECRUITING,,450.0,,OBSERVATIONAL,Pacific Edge Limited,,229,2022-06-08,
NCT01386398,"Vorinostat With or Without Bortezomib in Treating Patients With Refractory or Recurrent Stage IIB, Stage III, or Stage IV Cutaneous T-Cell Lymphoma",WITHDRAWN,PHASE3,0.0,,INTERVENTIONAL,European Organisation for Research and Treatment of Cancer - EORTC,,426,,
NCT07380698,The Effect of Dose and Storage Conditions of Indocyanine Green on Efficacy and Cost in Sentinel Lymph Node Mapping in Gynecological Cancer,RECRUITING,,30.0,,OBSERVATIONAL,Cukurova University,,19,2025-10-03,
NCT07466498,"Estrogen to Improve Quality of Life for Men With Newly Diagnosed or Recurrent Metastatic Hormone Sensitive Prostate Cancer, EQUIP Trial",NOT_YET_RECRUITING,PHASE2,60.0,,INTERVENTIONAL,University of Washington,,816,2026-08-01,
NCT01849263,Ibrutinib in Treating Patients With Relapsed or Refractory Follicular Lymphoma,ACTIVE_NOT_RECRUITING,PHASE2,41.0,,INTERVENTIONAL,National Cancer Institute (NCI),,870,2013-04-02,
NCT06609863,dTACE-HAIC Combined With Bevacizumab and Atezolizumab for Huge Hepatocellular Carcinoma,RECRUITING,NA,27.0,,INTERVENTIONAL,Sun Yat-sen University,,231,2024-10-01,
NCT02033993,Nab-Paclitaxel to Paclitaxel in Advanced Urothelial Cancer Progressing on or After Platinum Containing Regimen.,COMPLETED,PHASE2,199.0,,INTERVENTIONAL,Canadian Cancer Trials Group,,1107,2014-03-11,
NCT01571921,Gamma-delta Tocotrienol as Potential Maintenance Treatment in Women With Metastatic Breast Cancer,COMPLETED,PHASE1,12.0,,INTERVENTIONAL,Malaysia Palm Oil Board,,163,2013-01,
NCT02491593,Quantitative Immunochemical Fecal Occult Blood Test in Symptomatic Patients,COMPLETED,,242.0,,OBSERVATIONAL,Uppsala University,,27,2014-04,
NCT03318393,Study Comparing Bivalirudin Versus Heparin in Neonatal and Pediatric ECMO,COMPLETED,PHASE4,30.0,,INTERVENTIONAL,University of Texas Southwestern Medical Center,,96,2018-03-25,
NCT01727193,The Efficacy and Safety of Leflunomide or Azathioprine Therapy in Myasthenia Gravis Patients After Expand Thymectomy,COMPLETED,PHASE3,290.0,,INTERVENTIONAL,"First Affiliated Hospital, Sun Yat-Sen University",,208,2012-09,
NCT02263014,Psychosocial Outcomes and Contralateral Prophylactic Mastectomy (CPM),ACTIVE_NOT_RECRUITING,,345.0,,OBSERVATIONAL,M.D. Anderson Cancer Center,,115,2014-02-24,
NCT03394716,Monitoring MRI Changes Before and During Radiotherapy Treatment of Brain Tumors,TERMINATED,,45.0,,OBSERVATIONAL,The Netherlands Cancer Institute,,157,2018-01-12,
NCT07188116,Correlation Between COVID-19 and Radiation Pneumonitis in Breast Cancer,NOT_YET_RECRUITING,,200.0,,OBSERVATIONAL,Zhejiang Hospital,,85,2025-09-15,
NCT03635216,The Biomarker Analysis in Locally Advanced Cervical Cancer,UNKNOWN,,62.0,,OBSERVATIONAL,Mackay Memorial Hospital,,22,2018-05-21,
NCT02294006,Activity and Safety of Everolimus+Octreotide LAR+Metformin in Advanced Pancreatic Well-differentiated NETs,UNKNOWN,PHASE2,26.0,,INTERVENTIONAL,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",,554,2014-06,
NCT05819606,Positron Emission Radiomics With PSMA Radioligands on Newly Diagnosed Prostate Cancer Patients,COMPLETED,,70.0,,OBSERVATIONAL,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,47,2023-04-15,
NCT06832306,STimulation to Activate RespIration,RECRUITING,NA,30.0,,INTERVENTIONAL,Lungpacer Medical Inc.,,379,2025-05-28,
NCT06663033,Anastomotic Leak in Covid-19,COMPLETED,,390.0,,OBSERVATIONAL,Zagazig University,,10,2020-04-01,
NCT05034133,Durvalumab With Chemotherapy Followed by Sequential Radiotherapy for Limited Stage Small Cell Lung Cancer,UNKNOWN,PHASE2,20.0,,INTERVENTIONAL,Beijing Haidian Hospital,,1150,2021-09-01,
NCT02328404,The Effect of Vitamin D Supplementation Among Overweight Jordanian Women With Polycystic Ovary Syndrome (PCOS),COMPLETED,PHASE3,60.0,,INTERVENTIONAL,Hayat Pharmaceutical Co. PLC,,421,2014-02,
NCT04782804,Adjuvant PD-1 Antibody in Combination With Capecitabine for Patients With ICC at High-Risk of Postoperative Recurrence,UNKNOWN,"PHASE1, PHASE2",30.0,,INTERVENTIONAL,Fudan University,,175,2021-01-01,
NCT03322384,"UCDCC#271: Phase I/II Trial of Epacadostat, Intralesional SD101, Radiotherapy in Patients With Lymphoma",COMPLETED,"PHASE1, PHASE2",20.0,,INTERVENTIONAL,"University of California, Davis",,741,2018-01-17,
NCT06256484,A Study to Evaluate the Safety and Preliminary Efficacy of ATA3219 in Participants With Relapsed/Refractory B-cell Non-Hodgkin Lymphoma,TERMINATED,PHASE1,1.0,,INTERVENTIONAL,Atara Biotherapeutics,,608,2024-09-06,
NCT03320733,Comparison Between Dual Energy/Subtraction CT With MRI for the Identification of Predictors of Malignancy in Cystic Pancreatic Lesions,COMPLETED,NA,46.0,,INTERVENTIONAL,"University Health Network, Toronto",,85,2018-07-01,
NCT02204033,Dose Escalation Study With 99mTC - or 186 Re-labelled Humanised Monoclonal Antibody (hMAb) BIWA 4 in Patients With Head and Neck Cancer,COMPLETED,PHASE1,33.0,,INTERVENTIONAL,Boehringer Ingelheim,,274,1999-03,
NCT04434833,A Single-cell Transcriptome Study in Patients With Non-Hodgkin's Lymphoma,UNKNOWN,,150.0,,OBSERVATIONAL,Ruijin Hospital,,36,2020-07-01,
NCT02273752,"Pharmacokinetically Guided Everolimus in Patients With Breast Cancer, Pancreatic Neuroendocrine Tumors, or Kidney Cancer",TERMINATED,PHASE2,2.0,,INTERVENTIONAL,Emory University,,823,2014-11,
NCT02943252,The Clinical Study of Apatinib Plus S1 for Patients With Advanced Non-squamous Head and Neck Cancer,UNKNOWN,PHASE2,30.0,,INTERVENTIONAL,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,789,2016-10,
NCT04767152,Evaluation of Brain Changes in ALL Patients on Therapy,UNKNOWN,NA,110.0,,INTERVENTIONAL,"Federal Research Institute of Pediatric Hematology, Oncology and Immunology",,64,2021-02-16,
NCT02637375,A Pilot Preoperative Trial of Ganetespib With Paclitaxel for Triple-Negative Breast Cancer,WITHDRAWN,NA,0.0,,INTERVENTIONAL,University of Chicago,,520,2016-05,
NCT05964101,Nivolumab Combined With Chemotherapy in the Treatment of Primary Tracheal Squamous Cell Carcinoma,RECRUITING,PHASE2,25.0,,INTERVENTIONAL,The First Affiliated Hospital of Guangzhou Medical University,,480,2023-10-01,
NCT02153801,Genito Urinary Function With High or Low Inferior Mesenteric Artery Ligation in Laparoscopic Anterior Rectal Resection,COMPLETED,NA,212.0,,INTERVENTIONAL,Niguarda Hospital,,49,2014-09,
NCT03372057,A Study of Duvelisib in Participants With Relapsed or Refractory Peripheral T-cell Lymphoma (PTCL),COMPLETED,PHASE2,156.0,,INTERVENTIONAL,SecuraBio,,251,2018-02-22,
NCT03148275,"Trametinib in Treating Patients With Epithelioid Hemangioendothelioma That is Metastatic, Locally Advanced, or Cannot Be Removed by Surgery",COMPLETED,PHASE2,44.0,,INTERVENTIONAL,National Cancer Institute (NCI),,1279,2017-06-20,
NCT07288957,A Early Study of ABSK131 in Patients With Advanced/Metastatic Solid Tumors,RECRUITING,PHASE1,266.0,,INTERVENTIONAL,"Abbisko Therapeutics Co, Ltd",,861,2025-07-22,
NCT02432612,A Study to Assess the Pharmacokinetic (PK) Properties of Sativex® in Patients With Advanced Cancer,WITHDRAWN,PHASE1,0.0,,INTERVENTIONAL,GW Pharmaceuticals Ltd,,642,2015-10,
NCT05201612,Pembrolizumab and Olaparib in Homologous-recombination Deficient (HRD) Advanced Colorectal Cancer (CRC).,UNKNOWN,PHASE2,40.0,,INTERVENTIONAL,Grupo Espanol Multidisciplinario del Cancer Digestivo,,1245,2022-07-07,
NCT03409081,Early Access Program (EAP) of Gilteritinib (ASP2215) in Patients With FMS-like Tyrosine Kinase 3 (FLT3) Mutated Relapsed or Refractory Acute Myeloid Leukemia (AML) or With FLT3-Mutated AML in Complete Remission (CR) With Minimal Residual Disease (MRD),NO_LONGER_AVAILABLE,,,,EXPANDED_ACCESS,"Astellas Pharma Global Development, Inc.",,781,,
NCT02839681,Anti-Mesothelin Antibody Drug Conjugate Anetumab Ravtansine for Mesothelin Expressing Lung Adenocarcinoma,TERMINATED,PHASE2,2.0,,INTERVENTIONAL,National Cancer Institute (NCI),,1529,2016-07-19,
NCT00003019,Vinblastine and Methotrexate in Treating Children With Desmoid Tumors,COMPLETED,PHASE2,28.0,,INTERVENTIONAL,Children's Oncology Group,,127,1997-08,
NCT05601219,A Phase 1 Study of ADA-011 for Subjects With Advanced Solid Tumors,TERMINATED,PHASE1,46.0,,INTERVENTIONAL,"Adanate, Inc",,223,2022-11-15,
NCT01667419,A Study of Vemurafenib Adjuvant Therapy in Participants With Surgically Resected Cutaneous BRAF-Mutant Melanoma,COMPLETED,PHASE3,498.0,,INTERVENTIONAL,Hoffmann-La Roche,,331,2012-09-24,
NCT04506528,COVID EHR COHORT at the University of Wisconsin,COMPLETED,,1634381.0,,OBSERVATIONAL,"University of Wisconsin, Madison",,29,2020-06-11,
NCT07494565,Celecoxib Plus R-CHOP vs R-CHOP in Newly Diagnosed Advanced CD5+ DLBCL,NOT_YET_RECRUITING,PHASE2,60.0,,INTERVENTIONAL,Sun Yat-sen University,,1143,2026-03-05,
NCT05456165,Study of an Individualized Vaccine Targeting Neoantigens in Combination With Immune Checkpoint Blockade for Patients With Colon Cancer,WITHDRAWN,PHASE2,0.0,,INTERVENTIONAL,"Gritstone bio, Inc.",,895,2022-05-19,
NCT00884767,Biomarkers in Predicting Neurotoxicity in Patients With Colorectal Cancer Receiving Oxaliplatin,UNKNOWN,PHASE2,206.0,,INTERVENTIONAL,Institut Cancerologie de l'Ouest,,192,2007-09,
NCT04028167,Induction FLOT With CROSS CRT for Esophageal Cancer,ACTIVE_NOT_RECRUITING,PHASE2,40.0,,INTERVENTIONAL,"University of Colorado, Denver",,768,2020-04-08,
NCT03132467,"Durvalumab and Tremelimumab Before Surgery in Treating Patients With Hormone Receptor Positive, HER2 Negative Stage II-III Breast Cancer",COMPLETED,EARLY_PHASE1,16.0,,INTERVENTIONAL,M.D. Anderson Cancer Center,,941,2017-06-13,
